id,code,language_name,other_names,status,num_speakers,language_family,dialects,language_notes,language_notes2,countries,region,coordinates,endangered_status
3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,"Vulnerable (20 percent certain, based on the evidence available)","14,000-18,000",Kx'a,"Southeastern !Xun, Northwestern !Xun, Central !Xun",NA,NA,South Africa;Namibia;Angola;,Africa,"-28.74358,23.983154; -17.560247, 18.050537; -19.621892, 20.253296; -21.749296, 19.896240",Vulnerable
3956,bpk,'Ôrôê,Orowe; Boewe; Neukaledonien;,"Endangered (20 percent certain, based on the evidence available)",590,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,NA,NA,NA,New Caledonia;,Pacific,"-21.4223,165.4678",Endangered
1933,taa,(Lower) Tanana,NA,"Critically Endangered (80 percent certain, based on the evidence available)",25,Athabaskan-Eyak-Tlingit; Dene (Athabaskan),Minto-Nenana; Salcha; Chena,NA,"Tanana is the language of the Lower Tanana river, extending from Salcha through Fairbanks and Nenana to the Minto Flats.",USA;,North America,"65.157778, -149.37;64.521111, -146.980556;64.558056,-149.090556",Critically Endangered
3581,aas,Aasáx,"Asax; Asá; Aasá; Assa; Asak; ""Ndorobo""; ""Dorobo""; Lamanik; Il Konono; Asa; Aasax;",Dormant,0,Afro-Asiatic; Cushitic; South Cushitic,NA,NA,NA,Tanzania;,Africa,"-5.1948,37.738",Dormant
2011,abg,Abaga,NA,"Critically Endangered (20 percent certain, based on the evidence available)",5,Trans-New Guinea; Kainantu-Goroka,NA,NA,NA,Papua New Guinea;,Pacific,"-6.1883,145.5976",Critically Endangered
3584,abf,Abai Sungai,NA,"Endangered (20 percent certain, based on the evidence available)",<500,Austronesian; Malayo-Polynesian; North Borneo; Sabahan,NA,NA,NA,Malaysia;,Southeast Asia,"5.587, 118.3695",Endangered
10590,aau,Abau,Green River; Djarok,"Threatened (60 percent certain, based on the evidence available)",">7,000",Sepik,Central; Down-River; Down-River Border; Up-River,NA,NA,Papua New Guinea;,Pacific,"-3.97, 141.32",Threatened
1415,abq,Abaza,Abazintsy; Abazin; Ahuwa; Tapanta; Ashuwa;,"Vulnerable (20 percent certain, based on the evidence available)","47,880",Northwest Caucasian; Abkhaz-Abaza,Ashkaraua; Tapanta;,"Abaza belongs to the Abkhazo-Adyghian group of the Caucasian languages. It is close to Abkhaz, but contains also elements characteristic of Kabardian. Of all languages spoken in the former USSR, Abaza phonetics are considered the most difficult. The Abaza language is divided into two dialects corresponding to the two kinship communities Tapanta and Shkaraua. There are five subdialects: Abazakt, Apsua, Kubin-Elburgan, Kuvin and Psyzh-Krasnovostok. (The Redbook of the Peoples of the Russian Empire, 2008)",NA,Russia;,Caucasus;Europe;East Asia,"44.0,42.0",Vulnerable
9669,abp,Abellen Ayta,Abenlen; Ayta Abenlen Sambal; Aburlin Negrito; Sambal,"Threatened (20 percent certain, based on the evidence available)","3,500",Austronesian; Malayo-Polynesian; Central Luzon,NA,NA,NA,Philippines;,Southeast Asia,NA,Threatened
1763,bsa,Abinomn,"Avinomen; ""Baso""; Foya; Foja;","Critically Endangered (40 percent certain, based on the evidence available)",50,Isolate; Pacific,NA,NA,NA,Indonesia;,Southeast Asia,"-2.92, 138.89",Critically Endangered
3847,aob,Abom,NA,"Critically Endangered (60 percent certain, based on the evidence available)",15,Trans-New Guinea; Tirio,NA,NA,NA,Papua New Guinea;,Pacific,"-8.424996376, 142.9303589",Critically Endangered
10638,ado,Abu,Adjora; Adjoria; Azao,"Threatened (20 percent certain, based on the evidence available)","2,347",Lower Sepik-Ramu; Ramu; Grass,NA,NA,NA,Papua New Guinea;,Pacific,"-4.24, 144.47",Threatened
10569,aah,Abu',Abu’ Arapesh; Ua,"Threatened (60 percent certain, based on the evidence available)","2,560",Torricelli; Arapeshan,Matapau,NA,NA,Papua New Guinea;,Pacific,"-3.4, 142.8",Threatened
1381,abz,Abui,"Barue; ""Barawahing""; Namatalaki;","Threatened (100 percent certain, based on the evidence available)","16,000",Timor-Alor-Pantar,Atimelang; Kobola; Alakaman;,NA,NA,Indonesia;,Southeast Asia,NA,Threatened
10730,kgr,Abun,Karon Pantai; Madik; Yimbun,"Threatened (20 percent certain, based on the evidence available)",3000,Isolate; Pacific,Abun Ji /l/; Abun Ji /r/; Abun Ye; Abun Tat,NA,"""There are four identifiable dialects all of which are mutually intelligible, although intelligibility decreases when greater geographic distance is involved."" (Berry and Berry 1999:1)",Indonesia;,Southeast Asia,"-0.52, 132.19; -0.66, 131.91",Threatened
641,aca,Achagua,Achagua; Xagua; Ajagua; Achawa;,"Endangered (20 percent certain, based on the evidence available)",283,Arawakan; Northern Arawakan; Upper Amazon,NA,NA,NA,Colombia;,South America,"4.41666666667,-72.25",Endangered
1520,guq,Aché,Axe; Guaiaqui; Guoyagui; Guayakí; Guayaki-Ache; Guayaki; Guayaquí; Guaiaqui; Guajaki; Guoyagui;,"Severely Endangered (60 percent certain, based on the evidence available)",200,Tupian; Tupi-Guaranian; Guaranian,Northern Aché; Yvyturuzu Aché; Ñacunday (Southern) Aché; Ypeti Aché,NA,NA,Paraguay;,South America,"-25.25,-55.1666666667",Severely Endangered
3591,acz,Acheron,Garme; Asheron; Aceron; Achurun;,"Vulnerable (20 percent certain, based on the evidence available)","70,000",Niger-Congo; Talodi,Eastern Acheron; Western Acheron;,NA,NA,Sudan;,Africa,"10.809,30.2453",Vulnerable
647,acr,Achi',Rabinal K'iche'; Achí;,"Vulnerable (20 percent certain, based on the evidence available)","51,593",Mayan; K'ichean,"Cubulco, Rabinal. Some consider Cubulco a dialect of K'iche', and many consider all of Achi', Rabinal and Cubulco, to be just varieties of K'iche'. They are mutually intelligible.",Considered a dialect of K'iche' by many linguists.,NA,Guatemala;,"Mexico, Central America, Caribbean","15.1666666667,-90.5",Vulnerable
