phoneme,description,description_fixed
kpW,labialized voiceless labio-velar plosive,labialized voiceless labial-velar plosive
gbW,labialized voiced labio-velar plosive,labialized voiced labial-velar plosive
Nmgb,prenasalized voiced labial-velar plosive,prenasalized voiced labial-velar plosive
kph,voiceless aspirated labial-velar plosive,voiceless aspirated labial-velar plosive
kp,voiceless labial-velar plosive,voiceless labial-velar plosive
gb,voiced labial-velar plosive,voiced labial-velar plosive
pW-h,labialized velarized voiceless aspirated bilabial plosive,labialized velarized voiceless aspirated bilabial plosive
bW-,labialized velarized voiced bilabial plosive,labialized velarized voiced bilabial plosive
mbW,prenasalized labialized voiced bilabial plosive,prenasalized labialized voiced bilabial plosive
pW,labialized voiceless bilabial plosive,labialized voiceless bilabial plosive
bW,labialized voiced bilabial plosive,labialized voiced bilabial plosive
mbJ,prenasalized palatalized voiced bilabial plosive,prenasalized palatalized voiced bilabial plosive
pJh,palatalized voiceless aspirated bilabial plosive,palatalized voiceless aspirated bilabial plosive
pJ,palatalized voiceless bilabial plosive,palatalized voiceless bilabial plosive
bJh,palatalized breathy voiced bilabial plosive,palatalized breathy voiced bilabial plosive
bJ,palatalized voiced bilabial plosive,palatalized voiced bilabial plosive
mph,prenasalized voiceless aspirated bilabial plosive,prenasalized voiceless aspirated bilabial plosive
mp,prenasalized voiceless bilabial plosive,prenasalized voiceless bilabial plosive
mb,prenasalized voiced bilabial plosive,prenasalized voiced bilabial plosive
bm,nasally-released voiced bilabial plosive,nasally-released voiced bilabial plosive
ph,voiceless aspirated bilabial plosive,voiceless aspirated bilabial plosive
p*,laryngealized voiceless bilabial plosive,laryngealized voiceless bilabial plosive
p:,long voiceless bilabial plosive,long voiceless bilabial plosive
phh,voiceless bilabial plosive with breathy release,voiceless bilabial plosive with breathy release
hp,voiceless preaspirated bilabial plosive,voiceless preaspirated bilabial plosive
p,voiceless bilabial plosive,voiceless bilabial plosive
b*,laryngealized voiced bilabial plosive,laryngealized voiced bilabial plosive
b:,long voiced bilabial plosive,long voiced bilabial plosive
bh,breathy voiced bilabial plosive,breathy voiced bilabial plosive
b,voiced bilabial plosive,voiced bilabial plosive
bD,voiced labiodental plosive,voiced labiodental plosive
tDJ,palatalized voiceless dental plosive,palatalized voiceless dental plosive
dDJ,palatalized voiced dental plosive,palatalized voiced dental plosive
tD9,pharyngealized voiceless dental plosive,pharyngealized voiceless dental plosive
dD9,pharyngealized voiced dental plosive,pharyngealized voiced dental plosive
ntDh,prenasalized voiceless aspirated dental plosive,prenasalized voiceless aspirated dental plosive
ntD,prenasalized voiceless dental plosive,prenasalized voiceless dental plosive
