language,phoneme
!XU,p
!XU,b
!XU,k
!XU,g
!XU,ts
!XU,s
!XU,z
!XU,x
!XU,m
!XU,i
!XU,u
!XU,j
!XU,r[
!XU,kh
!XU,tS
!XU,S
!XU,N
!XU,"""e"
!XU,a
!XU,"""o"
!XU,a~
!XU,"""o~"
!XU,i:
!XU,u:
!XU,u~:
!XU,w
!XU,th
!XU,d
!XU,Z
!XU,ao
!XU,a:
!XU,n
!XU,t
!XU,ph
!XU,"""o:"
!XU,ui
!XU,oa
!XU,"""e:"
!XU,ei
!XU,oi
!XU,eu
!XU,tSh
!XU,gh
!XU,dZh
!XU,mh
!XU,hh
!XU,a~:
!XU,tsh
!XU,i~
!XU,u~
!XU,k'
!XU,tS'
!XU,dzh
!XU,ae
!XU,ia
!XU,m*
!XU,ei~
!XU,ts'
!XU,a9
!XU,"""o9"
!XU,m:
!XU,t'
!XU,a9:
!XU,|
!XU,n|
!XU,|h
!XU,hn|?
!XU,g|
!XU,d-
!XU,b'
!XU,d'
!XU,g'
!XU,ts-
!XU,dz-
!XU,tS-
!XU,dZ-
!XU,dZ'
!XU,N9
!XU,|x
!XU,hn|x?
!XU,g|x
!XU,g|x?
!XU,g|h
!XU,n|h
!XU,/
!XU,/x
!XU,/h
!XU,hn/?
!XU,hn/h
!XU,g/
!XU,g/x
!XU,g/h
!XU,g/x?
!XU,n/
!XU,n/h
!XU,/=
!XU,/=x
!XU,/=h
!XU,hn/=?
!XU,hn/=x?
!XU,hn/=h
!XU,g/=
!XU,g/=x
!XU,g/=h
!XU,g/=x?
!XU,#j
!XU,#jx
!XU,#jh
!XU,hn#j?
!XU,hn#jx?
!XU,hn#jh
!XU,g#j
!XU,g#jx
!XU,g#jh
!XU,g#jx?
!XU,n/=
!XU,n/=h
!XU,n#j
!XU,n#jh
!XU,"""o9:"
!XU,a9~
!XU,a9~:
!XU,O9~:
!XU,eu~
!XU,ae9
!XU,ao9
!XU,ao9~
!XU,oi9
!XU,oi9~
!XU,oi~
!XU,oa9
!XU,oa9~
!XU,oe
!XU,oa~
!XU,ui~
!XU,t-
!XU,dz'
!XU,hn|h
!XU,hn/x?
!XU,"""o9~"
!XU,ae9~
ABIPON,p
ABIPON,k
ABIPON,gF
ABIPON,m
ABIPON,i
ABIPON,j
ABIPON,tS
ABIPON,h
ABIPON,"""e"
ABIPON,a
ABIPON,"""o"
ABIPON,w
ABIPON,nj
ABIPON,"""t"
ABIPON,i_
ABIPON,RF
ABIPON,q
ABIPON,"""l"
ABIPON,"""n"
ABIPON,"""rr"
ACHE,p
ACHE,k
ACHE,m
ACHE,i
ACHE,u
ACHE,tS
ACHE,dZ
ACHE,"""e"
ACHE,a
ACHE,"""o"
ACHE,"""e~"
ACHE,a~
ACHE,"""o~"
ACHE,"""t"
ACHE,B
ACHE,i~
ACHE,u~
ACHE,mb
ACHE,"""nd"
ACHE,Ng
ACHE,"""l["
ACHUMAWI,p
ACHUMAWI,k
ACHUMAWI,s
ACHUMAWI,x
ACHUMAWI,m
ACHUMAWI,i
ACHUMAWI,u
ACHUMAWI,j
ACHUMAWI,dZ
ACHUMAWI,S
ACHUMAWI,h
ACHUMAWI,"""e"
ACHUMAWI,a
ACHUMAWI,"""o"
ACHUMAWI,w
ACHUMAWI,l
ACHUMAWI,"""@"
ACHUMAWI,t
ACHUMAWI,X
ACHUMAWI,?
ACHUMAWI,q
ACHUMAWI,"""n"
ACHUMAWI,"""rr"
ACOMA,b
ACOMA,g
ACOMA,m
ACOMA,i
ACOMA,E
ACOMA,u
ACOMA,j
ACOMA,dD
ACOMA,nD
ACOMA,tDh
ACOMA,kh
ACOMA,dZ
ACOMA,S
ACOMA,h
ACOMA,w
ACOMA,dj
ACOMA,au
ACOMA,ai
ACOMA,ph
ACOMA,ui
ACOMA,sD
ACOMA,a+
ACOMA,i_
ACOMA,eo
ACOMA,?
ACOMA,s.
ACOMA,dDz
ACOMA,ei
ACOMA,tSh
ACOMA,p'
ACOMA,k'
ACOMA,tS'
ACOMA,tD'
ACOMA,tDsh
ACOMA,tDs'
ACOMA,d.z
ACOMA,m*
ACOMA,w*
ACOMA,j*
ACOMA,ch
ACOMA,iu
ACOMA,t.sh
ACOMA,c'
ACOMA,nD*
ACOMA,t.s'
ACOMA,"C,'"
ACOMA,s.'
ACOMA,rDT
ACOMA,rDT*
ACOMA,i_i
ACOMA,sD'
ADZERA,b
ADZERA,g
ADZERA,f
ADZERA,m
ADZERA,i
ADZERA,j
ADZERA,kh
ADZERA,N
ADZERA,h
ADZERA,a
ADZERA,"""o"
ADZERA,i:
ADZERA,a:
ADZERA,ph
ADZERA,"""o:"
ADZERA,"""d"
ADZERA,"""dz"
ADZERA,?
ADZERA,"""r"
ADZERA,"""s"
ADZERA,"""n"
ADZERA,uu
ADZERA,"""th"
ADZERA,"""tsh"
ADZERA,gA
AGHEM,b
AGHEM,k
AGHEM,g
AGHEM,ts
AGHEM,dz
AGHEM,f
AGHEM,s
AGHEM,z
AGHEM,gF
AGHEM,m
AGHEM,i
AGHEM,E
AGHEM,u
AGHEM,O
AGHEM,j
AGHEM,tS
